Name,2025_09_10 17_00_14_R6G-Al_E10s.csv
Date,2025/09/10 17:05:09
Tag,R6G/Al_E10s
Comment,
Peak raman shift[cm-1],86.0020981292491
Integration[ms],10000
Averaging,1
Measure data Count,1
Source wave length,785
Calibrate value 0,788.3763138
Calibrate value 1,0.178372696
Calibrate value 2,-2.251874586E-05
Calibrate value 3,-1.73193709E-09
Calibrate value 4,4.815502996E-13
Calibrate value 5,-1.854087204E-17
Sensor pixel num,2048
Count monitor raman shift,0
Count monitor value,0
Dark name,
Ramanshift[cm-1],1
57.4244826718041,12266
60.2913132834474,14549
63.1561240406372,13005
66.0189166365999,13330
68.8796927626663,13312
71.7384541082974,18676
74.5952023610553,15660
77.4499392066464,17206
80.3026663288856,26886
83.1533854097288,65380
86.0020981292491,65535
88.8488061656626,65535
91.6935111953135,65535
94.5362148926924,65535
97.3769189304221,65535
100.215624979275,65535
103.052334708163,65535
105.887049784154,65535
108.719771872458,65535
111.550502636441,65535
114.379243737625,65535
117.205996835697,65535
120.030763588493,65535
122.853545652024,65535
125.674344680454,65535
128.493162326125,65535
131.310000239551,65535
134.124860069407,65535
136.937743462557,65535
139.748652064041,65535
142.557587517069,65535
145.36455146305,65535
148.169545541565,65535
150.972571390388,65535
153.77363064549,65535
156.572724941027,65535
159.369855909354,65535
162.165025181019,65535
164.95823438478,65535
167.749485147589,65535
170.538779094608,65535
173.326117849205,65535
176.111503032958,65535
178.89493626566,65535
181.676419165316,65535
184.45595334815,65535
187.233540428604,65535
190.00918201935,65535
192.78287973127,65535
195.554635173488,65535
198.324449953352,65535
201.092325676438,65535
203.85826394656,65535
206.622266365768,65535
209.384334534354,65535
212.144470050845,65535
214.902674512021,65535
217.658949512901,65535
220.41329664675,65535
223.165717505095,65535
225.916213677707,65535
228.664786752615,65535
231.41143831611,65535
234.156169952739,65535
236.89898324531,65535
239.639879774904,65535
242.378861120864,65535
245.115928860798,65535
247.851084570593,65535
250.584329824414,65535
253.315666194694,65535
256.045095252153,65535
258.772618565781,65535
261.498237702866,65535
264.221954228971,65535
266.943769707952,65535
269.66368570196,65535
272.381703771429,65535
275.097825475095,65535
277.812052369993,65535
280.52438601145,65535
283.234827953103,65535
285.94337974689,65535
288.650042943058,65535
291.35481909016,65535
294.057709735063,65535
296.758716422944,65535
299.457840697303,65535
302.155084099943,65535
304.850448171006,65535
307.543934448948,65535
310.235544470546,65535
312.925279770909,65535
315.613141883476,65535
318.299132340015,65535
320.983252670627,65535
323.665504403754,65535
326.345889066173,65535
329.024408182999,65535
331.701063277693,65535
334.375855872058,65535
337.048787486252,65535
339.719859638772,65535
342.389073846472,65535
345.056431624564,65535
347.721934486603,65535
350.385583944515,65535
353.047381508584,65535
355.707328687453,65535
358.365426988126,65535
361.02167791598,65535
363.676082974767,65535
366.328643666597,65535
368.979361491969,65535
371.628237949737,65535
374.275274537147,65535
376.920472749827,65535
379.563834081782,65535
382.2053600254,65535
384.845052071456,65535
387.482911709118,65535
390.11894042594,65535
392.753139707873,65535
395.38551103926,65535
398.016055902839,65535
400.64477577975,65535
403.27167214954,65535
405.896746490149,65535
408.520000277931,65535
411.141434987645,65535
413.761052092459,65535
416.378853063954,65535
418.994839372124,65535
421.60901248538,65535
424.221373870554,65535
426.831924992894,65535
429.44066731607,65535
432.047602302186,65535
434.652731411765,65535
437.256056103755,65535
439.857577835544,65535
442.457298062947,65535
445.055218240217,65535
447.651339820044,65535
450.245664253554,65535
452.838192990324,65535
455.428927478359,65535
458.017869164116,65535
460.60501949251,65535
463.19037990689,65535
465.773951849067,65535
468.355736759297,65535
470.935736076302,65535
473.513951237255,65535
476.090383677789,65535
478.665034832002,65535
481.237906132452,65535
483.808999010162,65535
486.378314894631,65535
488.945855213822,65535
491.511621394164,65535
494.075614860572,65535
496.637837036436,65535
499.198289343611,65535
501.756973202444,65535
504.313890031759,65535
506.869041248869,65535
509.422428269569,65535
511.974052508136,65535
514.523915377353,65535
517.07201828848,65535
519.618362651276,65535
522.162949873999,65535
524.7057813634,65535
527.246858524735,65535
529.786182761758,65535
532.323755476731,65535
534.859578070414,65535
537.39365194208,65535
539.925978489517,65535
542.456559109014,65535
544.985395195381,65535
547.512488141938,65535
550.037839340532,65535
552.561450181518,65535
555.083322053784,65535
557.60345634473,65535
560.121854440289,65535
562.638517724923,65535
565.153447581612,65535
567.666645391877,65535
570.178112535776,65535
572.687850391887,65535
575.195860337335,65535
577.702143747787,65535
580.206701997438,65535
582.709536459044,65535
585.210648503884,65535
587.710039501806,65535
590.207710821185,65535
592.703663828965,65535
595.197899890625,65535
597.690420370214,65535
600.181226630326,65535
602.670320032115,65535
605.157701935301,65535
607.643373698156,65535
