Name,2025_09_10 17_00_14_R6G-Al_E1s.csv
Date,2025/09/10 17:00:14
Tag,R6G/Al_E1s
Comment,
Peak raman shift[cm-1],94.5362148926924
Integration[ms],1000
Averaging,10
Measure data Count,1
Source wave length,785
Calibrate value 0,788.3763138
Calibrate value 1,0.178372696
Calibrate value 2,-2.251874586E-05
Calibrate value 3,-1.73193709E-09
Calibrate value 4,4.815502996E-13
Calibrate value 5,-1.854087204E-17
Sensor pixel num,2048
Count monitor raman shift,0
Count monitor value,0
Dark name,
Ramanshift[cm-1],1
57.4244826718041,4654
60.2913132834474,4910.1
63.1561240406372,4779.8
66.0189166365999,4800.1
68.8796927626663,4818.9
71.7384541082974,5384
74.5952023610553,5200.7
77.4499392066464,5579.5
80.3026663288856,7391.8
83.1533854097288,13692
86.0020981292491,25920.3
88.8488061656626,39885.9
91.6935111953135,48422.2
94.5362148926924,53309
97.3769189304221,49900.6
100.215624979275,45099.1
103.052334708163,41436.2
105.887049784154,35703.3
108.719771872458,31359.2
111.550502636441,28262.6
114.379243737625,24299.7
117.205996835697,21880.3
120.030763588493,19982.5
122.853545652024,18511
125.674344680454,17208
128.493162326125,16437.8
131.310000239551,15625.5
134.124860069407,15419
136.937743462557,14894.2
139.748652064041,14910.2
142.557587517069,14726.9
145.36455146305,14495.8
148.169545541565,14489.6
150.972571390388,14461.7
153.77363064549,14611.8
156.572724941027,14442.3
159.369855909354,14428
162.165025181019,14451.8
164.95823438478,14522
167.749485147589,14409
170.538779094608,14459.2
173.326117849205,14350.8
176.111503032958,14403.7
178.89493626566,14245.2
181.676419165316,14142.7
184.45595334815,14142.9
187.233540428604,14034.9
190.00918201935,14174.1
192.78287973127,14156.2
195.554635173488,14038.3
198.324449953352,13893.9
201.092325676438,14123.1
203.85826394656,13801
206.622266365768,13864.3
209.384334534354,13920.8
212.144470050845,13798
214.902674512021,13957.2
217.658949512901,14113.4
220.41329664675,13982.5
223.165717505095,13906
225.916213677707,13770.2
228.664786752615,13962.6
231.41143831611,13930.8
234.156169952739,13953.8
236.89898324531,13966
239.639879774904,13925.9
242.378861120864,13845.8
245.115928860798,13713.4
247.851084570593,13760
250.584329824414,13685.1
253.315666194694,13903.1
256.045095252153,14089.3
258.772618565781,13472.4
261.498237702866,13574.5
264.221954228971,13440.6
266.943769707952,13611.8
269.66368570196,13447.6
272.381703771429,13436.8
275.097825475095,13151.6
277.812052369993,13252.9
280.52438601145,13082.8
283.234827953103,13101.4
285.94337974689,13242
288.650042943058,12974.9
291.35481909016,13136.6
294.057709735063,13088.5
296.758716422944,12984
299.457840697303,13005.2
302.155084099943,13016.8
304.850448171006,13158.7
307.543934448948,13138.8
310.235544470546,13181
312.925279770909,12983
315.613141883476,13140.5
318.299132340015,13030
320.983252670627,13191.6
323.665504403754,13088.8
326.345889066173,13346.7
329.024408182999,13308.1
331.701063277693,13149
334.375855872058,13075.1
337.048787486252,13256
339.719859638772,13054.8
342.389073846472,13191.9
345.056431624564,13362.2
347.721934486603,13392
350.385583944515,13459.4
353.047381508584,13439.9
355.707328687453,13476.6
358.365426988126,13608.4
361.02167791598,13588.5
363.676082974767,13824.4
366.328643666597,14066.9
368.979361491969,13755.9
371.628237949737,13947.7
374.275274537147,13965.3
376.920472749827,14119.2
379.563834081782,14061.6
382.2053600254,14052.9
384.845052071456,14219.2
387.482911709118,14180.9
390.11894042594,14346
392.753139707873,14056.6
395.38551103926,14116.6
398.016055902839,14363.3
400.64477577975,14298.8
403.27167214954,14079.7
405.896746490149,14048
408.520000277931,14101.5
411.141434987645,14054.2
413.761052092459,13753.1
416.378853063954,13670.8
418.994839372124,13560.2
421.60901248538,13677.9
424.221373870554,13856.3
426.831924992894,13546.9
429.44066731607,13443.8
432.047602302186,13472.8
434.652731411765,13534.7
437.256056103755,13318.1
439.857577835544,13389.5
442.457298062947,13367.9
445.055218240217,13356.7
447.651339820044,13463.9
450.245664253554,13491.6
452.838192990324,13293.1
455.428927478359,13310.5
458.017869164116,13393.3
460.60501949251,13407.9
463.19037990689,13459.4
465.773951849067,13247.2
468.355736759297,13397.3
470.935736076302,13407.9
473.513951237255,13301.2
476.090383677789,13265.6
478.665034832002,13387.7
481.237906132452,13323.2
483.808999010162,13370.2
486.378314894631,13638.5
488.945855213822,13462.2
491.511621394164,13749.3
494.075614860572,13758.7
496.637837036436,13566.9
499.198289343611,13726.7
501.756973202444,13707.6
504.313890031759,14018.8
506.869041248869,13953.8
509.422428269569,13895.3
511.974052508136,13918.5
514.523915377353,13912.7
517.07201828848,14037.6
519.618362651276,13818.2
522.162949873999,13925.1
524.7057813634,13963.9
527.246858524735,13851.7
529.786182761758,13751.1
532.323755476731,13816.5
534.859578070414,13839.1
537.39365194208,14090.5
539.925978489517,13938.8
542.456559109014,13956.9
544.985395195381,13954
547.512488141938,14144
550.037839340532,13731
552.561450181518,13845.4
555.083322053784,13893.7
557.60345634473,13777.5
560.121854440289,13699.8
562.638517724923,13803.6
565.153447581612,13539.6
567.666645391877,13702.2
570.178112535776,13496.5
572.687850391887,13529.8
575.195860337335,13588
577.702143747787,13758.7
580.206701997438,13417
582.709536459044,13291.5
585.210648503884,13314.4
587.710039501806,13221.7
590.207710821185,13169.3
592.703663828965,13124.2
595.197899890625,13207.4
597.690420370214,13376.6
600.181226630326,13429
602.670320032115,13474.9
605.157701935301,13753
607.643373698156,13657.1
610.127336677519,13536.8
612.609592228804,13410.5
615.09014170597,13345
617.568986461574,13404.7
620.046127846719,13165.1
622.521567211093,13275.7
624.995305902958,13294.4
627.467345269148,13193.6
629.937686655081,13352
632.406331404751,13274.6
634.873280860736,13362.8
637.338536364199,13568.6
639.802099254886,13617.8
642.263970871132,13316.5
644.724152549863,13263.1
647.182645626595,13282.9
649.639451435434,13453.4
652.094571309088,13268.2
654.548006578856,13426.5
656.999758574639,13359.8
659.449828624933,13358.8
661.898218056844,13490.5
664.34492819608,13128
666.789960366948,13219.7
669.233315892376,13397.6
671.674996093881,13211.7
674.115002291619,13715.7
676.553335804332,12915.5
678.989997949398,12883.7
681.424990042793,13191.8
683.858313399131,12934.9
686.289969331632,13029.9
688.719959152144,12962.4
691.148284171137,13241.8
693.574945697706,12744.6
695.999945039577,12806.8
698.4232835031,12631.1
700.844962393265,12906.1
703.264983013683,12605.6
705.68334666661,12406.5
708.100054652929,13254.9
710.51510827217,12624.6
712.928508822499,12535
715.340257600719,12609.2
717.750355902286,12425.5
720.158805021294,12376
722.56560625048,12510
724.970760881246,12560.3
727.374270203627,12412
729.776135506318,12452.7
732.176358076669,12349
734.574939200678,12426.5
736.971880163013,12453.5
739.367182246991,12416.8
741.760846734589,12329.4
744.152874906456,12386.6
746.543268041896,12299.9
748.932027418883,12447.5
751.319154314055,12252.7
753.70465000273,12310.6
756.08851575888,12417.2
758.470752855168,12382.1
760.851362562917,12763.8
763.230346152139,12529.1
765.60770489151,12569.1
767.983440048396,12937.2
770.357552888843,12604.5
772.730044677575,12597.8
775.100916678011,12543.4
777.470170152237,12608.2
779.837806361053,12221.1
782.203826563928,12372.4
784.568232019032,12328.1
786.931023983223,12244.5
789.292203712064,12566.7
791.651772459802,12239.1
794.009731479387,12235.7
796.366082022472,12127.7
798.720825339415,12398.3
801.073962679262,12182.8
803.425495289777,12291.1
805.77542441743,12007.8
808.123751307388,11975.3
810.470477203547,12054.4
812.815603348497,12099.2
815.159130983548,12103.6
817.501061348725,12075.7
819.84139568277,12274.2
822.18013522314,12039.4
824.517281206017,11852
826.852834866297,11936.8
829.186797437609,11954.4
831.519170152293,11906
833.84995424143,11910
836.17915093482,11908.1
838.506761460994,11860.1
840.832787047217,11843.3
843.157228919483,11827.6
845.48008830252,11769.8
847.801366419795,11778.9
850.121064493518,11656.8
852.439183744622,11621
854.755725392799,11624.5
857.07069065647,11456.7
859.38408075281,11465.1
861.695896897732,11539.8
864.006140305897,11281
866.314812190723,11330.9
868.621913764369,11519.9
870.927446237749,11316.9
873.231410820536,11355.2
875.533808721149,11222.6
877.834641146772,11292.9
880.133909303337,11400.4
882.431614395553,11335.7
884.727757626875,11337.6
