Name,DK 2025_09_10 17_05_56_DK_E1s.csv
Date,2025/09/10 17:06:54
Tag,DARK
Comment,
Peak raman shift[cm-1],83.1533854097288
Integration[ms],1000
Averaging,1
Measure data Count,1
Source wave length,785
Calibrate value 0,788.3763138
Calibrate value 1,0.178372696
Calibrate value 2,-2.251874586E-05
Calibrate value 3,-1.73193709E-09
Calibrate value 4,4.815502996E-13
Calibrate value 5,-1.854087204E-17
Sensor pixel num,2048
Count monitor raman shift,0
Count monitor value,0
Dark name,
Ramanshift[cm-1],1
57.4244826718041,4647
60.2913132834474,4924
63.1561240406372,4676
66.0189166365999,4688
68.8796927626663,4665
71.7384541082974,5220
74.5952023610553,4767
77.4499392066464,4572
80.3026663288856,4694
83.1533854097288,5602
86.0020981292491,4658
88.8488061656626,4762
91.6935111953135,4627
94.5362148926924,4658
97.3769189304221,4557
100.215624979275,4573
103.052334708163,4671
105.887049784154,4796
108.719771872458,4620
111.550502636441,4787
114.379243737625,4526
117.205996835697,4586
120.030763588493,4497
122.853545652024,4816
125.674344680454,4697
128.493162326125,4668
131.310000239551,4493
134.124860069407,4763
136.937743462557,4524
139.748652064041,4927
142.557587517069,4588
145.36455146305,4423
148.169545541565,4586
150.972571390388,4469
153.77363064549,4623
156.572724941027,4454
159.369855909354,4420
162.165025181019,4550
164.95823438478,4557
167.749485147589,4513
170.538779094608,4572
173.326117849205,4584
176.111503032958,4642
178.89493626566,4585
181.676419165316,4509
184.45595334815,4500
187.233540428604,4438
190.00918201935,4646
192.78287973127,4620
195.554635173488,4566
198.324449953352,4348
201.092325676438,4719
203.85826394656,4352
206.622266365768,4333
209.384334534354,4411
212.144470050845,4400
214.902674512021,4499
217.658949512901,4665
220.41329664675,4499
223.165717505095,4430
225.916213677707,4386
228.664786752615,4488
231.41143831611,4410
234.156169952739,4504
236.89898324531,4373
239.639879774904,4481
242.378861120864,4464
245.115928860798,4300
247.851084570593,4480
250.584329824414,4412
253.315666194694,4723
256.045095252153,4939
258.772618565781,4327
261.498237702866,4501
264.221954228971,4442
266.943769707952,4671
