Name,DK 2025_09_10 17_05_56_DK_E5s.csv
Date,2025/09/10 17:06:37
Tag,DARK
Comment,
Peak raman shift[cm-1],83.1533854097288
Integration[ms],5000
Averaging,1
Measure data Count,1
Source wave length,785
Calibrate value 0,788.3763138
Calibrate value 1,0.178372696
Calibrate value 2,-2.251874586E-05
Calibrate value 3,-1.73193709E-09
Calibrate value 4,4.815502996E-13
Calibrate value 5,-1.854087204E-17
Sensor pixel num,2048
Count monitor raman shift,0
Count monitor value,0
Dark name,
Ramanshift[cm-1],1
57.4244826718041,7772
60.2913132834474,9061
63.1561240406372,8071
66.0189166365999,8154
68.8796927626663,7934
71.7384541082974,10614
74.5952023610553,8445
77.4499392066464,7645
80.3026663288856,7892
83.1533854097288,12434
86.0020981292491,7921
88.8488061656626,8388
91.6935111953135,7928
94.5362148926924,7914
97.3769189304221,7378
100.215624979275,7526
103.052334708163,7664
105.887049784154,8571
108.719771872458,7798
111.550502636441,8656
114.379243737625,7304
117.205996835697,7563
120.030763588493,7249
122.853545652024,8884
125.674344680454,7822
128.493162326125,7939
131.310000239551,7143
134.124860069407,8115
136.937743462557,6893
139.748652064041,8375
142.557587517069,7701
145.36455146305,6980
148.169545541565,7321
150.972571390388,6953
153.77363064549,7626
156.572724941027,6989
159.369855909354,6929
162.165025181019,7289
164.95823438478,7536
167.749485147589,7229
170.538779094608,7567
173.326117849205,7583
176.111503032958,8235
178.89493626566,7671
181.676419165316,7152
184.45595334815,7012
187.233540428604,6969
190.00918201935,7711
192.78287973127,7864
195.554635173488,7414
198.324449953352,6578
201.092325676438,8175
203.85826394656,6558
206.622266365768,6417
209.384334534354,6794
212.144470050845,6445
214.902674512021,7426
217.658949512901,7753
220.41329664675,7244
223.165717505095,6938
225.916213677707,6560
228.664786752615,7266
231.41143831611,6752
234.156169952739,7308
236.89898324531,6482
239.639879774904,6823
242.378861120864,7105
245.115928860798,6331
247.851084570593,7131
250.584329824414,7057
253.315666194694,8305
256.045095252153,9520
258.772618565781,6305
261.498237702866,7042
264.221954228971,6667
266.943769707952,7893
269.66368570196,7202
272.381703771429,7414
275.097825475095,6668
277.812052369993,7354
280.52438601145,6964
283.234827953103,7098
285.94337974689,8002
288.650042943058,6546
291.35481909016,7373
294.057709735063,6853
296.758716422944,6203
299.457840697303,6178
302.155084099943,6130
304.850448171006,6897
307.543934448948,7025
310.235544470546,7111
312.925279770909,6609
315.613141883476,6959
318.299132340015,6707
320.983252670627,7354
323.665504403754,6943
326.345889066173,8480
329.024408182999,7627
331.701063277693,6956
334.375855872058,6397
337.048787486252,7111
339.719859638772,6074
342.389073846472,6884
345.056431624564,7366
347.721934486603,6905
350.385583944515,6945
353.047381508584,6471
355.707328687453,6798
358.365426988126,6597
361.02167791598,6562
363.676082974767,7262
366.328643666597,8407
368.979361491969,6072
371.628237949737,6890
374.275274537147,6648
376.920472749827,7592
379.563834081782,6908
382.2053600254,6849
384.845052071456,7179
387.482911709118,6588
390.11894042594,7648
392.753139707873,7053
395.38551103926,6820
398.016055902839,8159
400.64477577975,7749
403.27167214954,6810
405.896746490149,7366
408.520000277931,7525
411.141434987645,8121
413.761052092459,6398
416.378853063954,6131
418.994839372124,5980
421.60901248538,6982
424.221373870554,8146
426.831924992894,6642
429.44066731607,6292
432.047602302186,6432
434.652731411765,7568
437.256056103755,6074
439.857577835544,6743
442.457298062947,6759
445.055218240217,6503
447.651339820044,7285
450.245664253554,7700
452.838192990324,6379
455.428927478359,6518
458.017869164116,7259
460.60501949251,7213
463.19037990689,7219
465.773951849067,6129
468.355736759297,6767
470.935736076302,6622
473.513951237255,6575
476.090383677789,5972
478.665034832002,6329
481.237906132452,5955
483.808999010162,6000
486.378314894631,7223
488.945855213822,5969
491.511621394164,8050
494.075614860572,7373
496.637837036436,6388
499.198289343611,6389
501.756973202444,6888
504.313890031759,7860
506.869041248869,7654
509.422428269569,7249
511.974052508136,6878
514.523915377353,6821
517.07201828848,7099
519.618362651276,6031
522.162949873999,7131
524.7057813634,7120
527.246858524735,6401
529.786182761758,6032
532.323755476731,6326
534.859578070414,6573
537.39365194208,8006
539.925978489517,7441
542.456559109014,7165
544.985395195381,7535
547.512488141938,8447
550.037839340532,6257
552.561450181518,7276
555.083322053784,7552
557.60345634473,6724
560.121854440289,6690
562.638517724923,7482
565.153447581612,6340
567.666645391877,7186
570.178112535776,6255
572.687850391887,6759
575.195860337335,7214
577.702143747787,8772
580.206701997438,7087
582.709536459044,6738
585.210648503884,7000
587.710039501806,6643
590.207710821185,6196
592.703663828965,5938
595.197899890625,6322
597.690420370214,7338
600.181226630326,7571
602.670320032115,7058
605.157701935301,7835
607.643373698156,6697
610.127336677519,7075
612.609592228804,6788
615.09014170597,6825
617.568986461574,7511
620.046127846719,6600
622.521567211093,6750
624.995305902958,6671
627.467345269148,6029
629.937686655081,7036
632.406331404751,6271
634.873280860736,6631
637.338536364199,7878
639.802099254886,8435
642.263970871132,6190
644.724152549863,5848
647.182645626595,6350
649.639451435434,7349
652.094571309088,6037
654.548006578856,7284
656.999758574639,6213
659.449828624933,6762
661.898218056844,7556
664.34492819608,6135
666.789960366948,6739
669.233315892376,7467
671.674996093881,6847
674.115002291619,9938
676.553335804332,5792
678.989997949398,5901
681.424990042793,7947
683.858313399131,6404
686.289969331632,7119
688.719959152144,6839
691.148284171137,9089
693.574945697706,6145
695.999945039577,6995
698.4232835031,5831
700.844962393265,8362
703.264983013683,6145
705.68334666661,5815
708.100054652929,10320
710.51510827217,7034
712.928508822499,6537
715.340257600719,7024
717.750355902286,6023
720.158805021294,6586
722.56560625048,7187
724.970760881246,7342
727.374270203627,6927
729.776135506318,6949
732.176358076669,6657
734.574939200678,6844
736.971880163013,7018
739.367182246991,6955
741.760846734589,6234
744.152874906456,6686
746.543268041896,6528
748.932027418883,7312
751.319154314055,6159
753.70465000273,6627
756.08851575888,6482
758.470752855168,6211
760.851362562917,8223
763.230346152139,6257
765.60770489151,6138
767.983440048396,7940
770.357552888843,6139
772.730044677575,6627
775.100916678011,6760
777.470170152237,7214
779.837806361053,5698
782.203826563928,6439
784.568232019032,6639
786.931023983223,6185
789.292203712064,8497
791.651772459802,6211
794.009731479387,6627
796.366082022472,6170
798.720825339415,7621
801.073962679262,6566
803.425495289777,7302
805.77542441743,5987
808.123751307388,5906
810.470477203547,6120
812.815603348497,6434
815.159130983548,6661
817.501061348725,6523
819.84139568277,8174
822.18013522314,6481
824.517281206017,5721
826.852834866297,6694
829.186797437609,6482
831.519170152293,6368
833.84995424143,6524
836.17915093482,6941
838.506761460994,7350
840.832787047217,7048
843.157228919483,6931
845.48008830252,6718
847.801366419795,7076
850.121064493518,6460
852.439183744622,6570
854.755725392799,6748
857.07069065647,5818
859.38408075281,6089
861.695896897732,6715
864.006140305897,5711
866.314812190723,5753
868.621913764369,7226
870.927446237749,6175
873.231410820536,6434
875.533808721149,5825
877.834641146772,6558
880.133909303337,7060
882.431614395553,6916
884.727757626875,6546
887.022340199528,6962
889.315363314496,7160
891.606828171536,7223
893.896735969176,6363
896.185087904702,5678
898.47188517418,7141
900.757128972442,6074
903.040820493103,6069
905.322960928543,6517
907.603551469925,6086
909.882593307193,6813
912.160087629067,7158
914.436035623054,5828
916.710438475435,6000
918.983297371284,5745
921.254613494462,6208
923.524388027614,7372
925.792622152176,6473
928.059317048375,6903
930.324473895233,7212
932.588093870558,7793
934.850178150966,9473
937.110727911862,6007
939.369744327454,5623
941.62722857074,6823
943.883181813542,6395
946.137605226457,8345
948.390499978908,6905
950.641867239117,6458
952.891708174115,6653
955.14002394974,7153
957.386815730641,6004
959.632084680283,6449
961.875831960941,5632
964.118058733709,6123
966.358766158499,5641
968.597955394031,7197
970.835627597859,6748
973.071783926347,6770
975.306425534689,6656
977.539553576895,7309
979.771169205813,6367
982.001273573116,6468
984.229867829288,6394
986.456953123665,6101
988.682530604407,6621
990.906601418506,6167
993.129166711788,6022
995.350227628916,7257
997.569785313392,6363
999.787840907557,6001
1002.00439555259,5860
1004.21945038851,5779
1006.4330065542,6748
1008.64506518735,6153
1010.85562742452,6762
1013.06469440113,6728
1015.27226725142,6071
1017.4783471085,6555
1019.68293510433,7522
1021.88603236971,7467
1024.08764003432,7187
1026.28775922667,5634
1028.48639107415,6470
1030.68353670299,6440
1032.8791972383,6503
1035.07337380403,6463
1037.26606752301,6510
1039.45727951694,7081
1041.64701090637,6024
1043.83526281073,5542
1046.0220363483,7464
1048.20733263626,6094
1050.39115279065,6098
1052.57349792636,6319
1054.7543691572,7477
1056.93376759582,6647
1059.11169435376,6805
1061.28815054144,6435
1063.46313726816,5998
1065.63665564211,6785
1067.80870677034,6046
1069.97929175881,6732
1072.14841171235,6441
1074.31606773468,7033
1076.48226092843,6584
1078.64699239509,6078
1080.81026323505,6315
1082.97207454761,7202
1085.13242743095,6060
1087.29132298214,7168
1089.44876229716,6730
1091.60474647088,6082
1093.75927659708,6801
1095.91235376843,6244
1098.06397907651,5604
1100.21415361181,6455
1102.3628784637,6980
1104.51015472049,6182
1106.65598346937,6605
1108.80036579647,7256
1110.9433027868,6450
1113.08479552429,5731
1115.2248450918,5616
1117.36345257109,6446
1119.50061904284,5978
1121.63634558665,6394
1123.77063328104,7019
1125.90348320344,5961
1128.03489643021,6044
1130.16487403663,6836
1132.29341709692,6532
1134.4205266842,7433
1136.54620387053,6417
1138.6704497269,6624
1140.79326532322,5644
1142.91465172836,5741
1145.03461001007,5993
1147.1531412351,6747
1149.27024646907,6513
1151.38592677657,6408
1153.50018322114,6767
1155.61301686523,7237
1157.72442877025,7150
1159.83441999654,6801
1161.94299160338,6809
1164.05014464901,7427
1166.15588019062,7676
1168.26019928431,7121
1170.36310298516,8985
1172.4645923472,7381
1174.56466842339,5906
1176.66333226567,7473
1178.76058492491,7245
1180.85642745094,6815
1182.95086089255,6134
1185.04388629748,6326
1187.13550471245,8267
1189.22571718311,6437
1191.31452475409,6932
1193.40192846898,6017
1195.48792937032,7156
1197.57252849964,6678
1199.65572689742,7164
1201.7375256031,6379
1203.81792565511,5645
1205.89692809083,6257
1207.97453394663,6233
1210.05074425783,6323
1212.12556005874,7650
1214.19898238265,6680
1216.27101226181,7546
1218.34165072746,6465
1220.41089880981,6263
1222.47875753805,6360
1224.54522794037,6013
1226.61031104392,5961
1228.67400787484,6304
1230.73631945826,6662
1232.7972468183,6641
1234.85679097805,6770
1236.91495295962,6773
1238.97173378407,7116
1241.02713447148,7485
1243.08115604092,6677
1245.13379951044,6094
1247.1850658971,5869
1249.23495621695,6625
1251.28347148504,6445
1253.3306127154,7212
1255.3763809211,5961
1257.42077711418,5877
1259.46380230568,7518
1261.50545750567,6596
1263.54574372319,6893
1265.58466196632,6970
1267.62221324214,7802
1269.6583985567,6310
1271.69321891513,7425
1273.7266753215,6829
1275.75876877894,7010
1277.78950028958,6370
1279.81887085455,6065
1281.84688147402,5490
1283.87353314717,6791
1285.89882687217,6083
1287.92276364625,6401
1289.94534446564,5565
1291.9665703256,5882
1293.9864422204,6531
1296.00496114336,6520
1298.02212808678,7467
1300.03794404204,7458
1302.05240999952,7773
1304.06552694861,8408
1306.07729587778,6625
1308.08771777449,8598
1310.09679362525,6658
1312.10452441559,6715
1314.11091113009,7652
1316.11595475237,6982
1318.11965626507,5560
1320.12201664987,5933
1322.12303688751,6248
1324.12271795775,6922
1326.12106083939,5903
1328.1180665103,6308
1330.11373594737,7102
1332.10807012654,7335
1334.10107002279,6766
1336.09273661017,6743
1338.08307086176,7644
1340.0720737497,6070
1342.05974624516,6674
1344.0460893184,6563
1346.03110393871,6569
1348.01479107442,7001
1349.99715169295,6108
1351.97818676075,5559
1353.95789724335,6174
1355.93628410532,5869
1357.9133483103,6013
1359.88909082099,6759
1361.86351259915,5717
1363.83661460561,6339
1365.80839780026,6305
1367.77886314206,7845
1369.74801158903,5794
1371.71584409827,5785
1373.68236162594,7754
1375.64756512727,5774
1377.61145555657,5730
1379.57403386722,6369
1381.53530101167,7369
1383.49525794145,6533
1385.45390560715,6242
1387.41124495847,8153
1389.36727694417,6179
1391.32200251207,6233
1393.27542260911,5962
1395.22753818129,5818
1397.17835017368,5994
1399.12785953046,5523
1401.07606719489,6149
1403.0229741093,6584
1404.96858121513,6395
1406.91288945288,6291
1408.85589976218,6649
1410.7976130817,7010
1412.73803034925,7108
1414.67715250171,6348
1416.61498047504,6704
1418.55151520433,5810
1420.48675762373,6293
1422.42070866653,8066
1424.35336926506,6070
1426.28474035081,6535
1428.21482285432,6214
1430.14361770528,6237
1432.07112583244,6276
1433.99734816367,6181
1435.92228562596,6420
1437.84593914537,6231
1439.76830964712,6213
1441.68939805548,6142
1443.60920529387,5484
1445.5277322848,7035
1447.4449799499,6649
1449.36094920992,5534
1451.2756409847,6710
1453.18905619322,5837
1455.10119575355,5983
1457.01206058291,5997
1458.9216515976,6187
1460.82996971307,5749
1462.73701584387,6249
1464.64279090368,6086
1466.54729580531,5950
1468.45053146067,6065
1470.35249878081,5750
1472.25319867591,7824
1474.15263205525,6562
1476.05079982728,6371
1477.94770289954,7100
1479.84334217872,6145
1481.73771857063,6579
1483.63083298022,5452
1485.52268631156,5403
1487.41327946787,6292
1489.30261335148,5859
