X-Axis	NPA w/ oil 20x (CRR) (SG) (Sub BG)
 3.78941E+02	 2.05295E+02
 3.83108E+02	 2.51903E+02
 3.87272E+02	 3.00381E+02
 3.91433E+02	 3.12778E+02
 3.95591E+02	 3.09541E+02
 3.99746E+02	 2.84823E+02
 4.03898E+02	 1.89149E+02
 4.08048E+02	 1.20582E+02
 4.12194E+02	 1.46582E+02
 4.16338E+02	 1.84202E+02
 4.20479E+02	 1.91064E+02
 4.24617E+02	 2.07928E+02
 4.28752E+02	 1.84321E+02
 4.32884E+02	 9.45781E+01
 4.37013E+02	 2.61748E+01
 4.41140E+02	 2.94531E+00
 4.45263E+02	-2.19229E+01
 4.49384E+02	-5.75313E+01
 4.53502E+02	-4.90869E+01
 4.57617E+02	-4.41309E+00
 4.61729E+02	 1.08047E+01
 4.65838E+02	 5.65977E+01
 4.69945E+02	 8.47627E+01
 4.74048E+02	 6.70840E+01
 4.78149E+02	 4.24639E+01
 4.82247E+02	 4.16406E+00
 4.86342E+02	-2.84785E+01
 4.90434E+02	-5.30781E+01
 4.94524E+02	-8.02520E+01
 4.98610E+02	-8.42627E+01
 5.02694E+02	-5.84468E+01
 5.06775E+02	 1.43164E+00
 5.10853E+02	-5.51904E+00
 5.14929E+02	-3.39023E+01
 5.19001E+02	-4.64185E+01
 5.23071E+02	-5.80527E+01
 5.27138E+02	-4.10781E+01
 5.31202E+02	 1.12432E+01
 5.35263E+02	 6.24102E+01
 5.39322E+02	 8.32583E+01
 5.43377E+02	 9.04302E+01
 5.47430E+02	 1.17468E+02
 5.51480E+02	 9.88535E+01
 5.55528E+02	 3.47080E+01
 5.59572E+02	-1.73267E+01
 5.63614E+02	-5.47568E+01
 5.67653E+02	-4.71733E+01
 5.71689E+02	 2.70313E+00
 5.75723E+02	 2.62876E+01
 5.79753E+02	-2.64404E+00
 5.83781E+02	-6.90801E+01
 5.87806E+02	-1.46606E+02
 5.91829E+02	-1.36385E+02
 5.95848E+02	-4.67749E+01
 5.99865E+02	 7.74331E+01
 6.03879E+02	 1.41130E+02
 6.07891E+02	 1.20356E+02
 6.11899E+02	 5.70762E+01
 6.15905E+02	-2.27788E+01
 6.19908E+02	-3.53145E+01
 6.23908E+02	 4.02236E+01
 6.27906E+02	 8.79199E+01
 6.31901E+02	 1.16462E+02
 6.35893E+02	 1.20951E+02
 6.39882E+02	 7.19624E+01
 6.43869E+02	 2.22319E+01
 6.47853E+02	 1.82651E+01
 6.51834E+02	 7.57520E+01
 6.55813E+02	 9.84673E+01
 6.59789E+02	 5.53594E+01
 6.63762E+02	 1.75923E+01
 6.67732E+02	 1.26553E+01
 6.71700E+02	 2.21460E+01
 6.75665E+02	 7.61763E+01
 6.79627E+02	 1.35826E+02
 6.83587E+02	 1.36624E+02
 6.87544E+02	 4.64624E+01
 6.91498E+02	-2.11606E+01
 6.95449E+02	-1.04443E+01
 6.99398E+02	-8.19092E+00
 7.03344E+02	-2.74756E+01
 7.07288E+02	-1.57729E+01
 7.11228E+02	-2.35679E+01
 7.15166E+02	-2.66509E+01
