X-Axis	NPA w/ HMB-1 20x E30 (CRR) (Average 3) (Sub BG)
 3.78941E+02	 3.14373E+03
 3.83108E+02	 2.91288E+03
 3.87272E+02	 3.16827E+03
 3.91433E+02	 3.91470E+03
 3.95591E+02	 4.11578E+03
 3.99746E+02	 3.54185E+03
 4.03898E+02	 2.73378E+03
 4.08048E+02	 2.34268E+03
 4.12194E+02	 2.44446E+03
 4.16338E+02	 2.87928E+03
 4.20479E+02	 3.74408E+03
 4.24617E+02	 4.34759E+03
 4.28752E+02	 3.73457E+03
 4.32884E+02	 2.46409E+03
 4.37013E+02	 1.30380E+03
 4.41140E+02	 5.81484E+01
 4.45263E+02	-7.84754E+02
 4.49384E+02	-7.45520E+02
 4.53502E+02	-8.24922E+01
 4.57617E+02	 1.15688E+03
 4.61729E+02	 2.19307E+03
 4.65838E+02	 1.99793E+03
 4.69945E+02	 1.41878E+03
 4.74048E+02	 1.37663E+03
 4.78149E+02	 9.56758E+02
 4.82247E+02	 8.42813E+01
 4.86342E+02	-2.90578E+02
 4.90434E+02	-3.18195E+02
 4.94524E+02	-2.43465E+02
 4.98610E+02	-1.41602E+01
 5.02694E+02	 7.88086E+01
 5.06775E+02	 1.14531E+01
 5.10853E+02	 4.80000E+01
 5.14929E+02	 3.15391E+02
 5.19001E+02	 4.53980E+02
 5.23071E+02	 4.44285E+02
 5.27138E+02	 8.45832E+02
 5.31202E+02	 6.97895E+02
 5.35263E+02	-4.54500E+02
 5.39322E+02	-9.82074E+02
 5.43377E+02	-5.62535E+02
 5.47430E+02	-1.20496E+02
 5.51480E+02	 1.08844E+02
 5.55528E+02	 3.71152E+02
 5.59572E+02	 5.81195E+02
 5.63614E+02	 2.28004E+02
 5.67653E+02	-4.10645E+02
 5.71689E+02	-9.21266E+02
 5.75723E+02	-7.50398E+02
 5.79753E+02	 1.87344E+01
 5.83781E+02	-2.24555E+02
 5.87806E+02	-7.21016E+02
 5.91829E+02	 7.60156E+00
 5.95848E+02	 8.71293E+02
 5.99865E+02	 9.10820E+02
 6.03879E+02	 8.09430E+02
 6.07891E+02	 7.50641E+02
 6.11899E+02	-1.24059E+02
 6.15905E+02	-1.03814E+03
 6.19908E+02	-8.86613E+02
 6.23908E+02	-1.78215E+02
 6.27906E+02	 5.78316E+02
 6.31901E+02	 1.32598E+03
 6.35893E+02	 1.79354E+03
 6.39882E+02	 1.72825E+03
 6.43869E+02	 1.29489E+03
 6.47853E+02	 7.81734E+02
 6.51834E+02	 6.50539E+02
 6.55813E+02	 9.44836E+02
 6.59789E+02	 1.15914E+03
 6.63762E+02	 1.26325E+03
 6.67732E+02	 1.17693E+03
 6.71700E+02	 1.23197E+03
 6.75665E+02	 1.87941E+03
 6.79627E+02	 2.55154E+03
 6.83587E+02	 3.05715E+03
 6.87544E+02	 3.05180E+03
 6.91498E+02	 1.94655E+03
 6.95449E+02	 5.36949E+02
 6.99398E+02	-4.51918E+02
 7.03344E+02	-5.97230E+02
 7.07288E+02	 2.03598E+02
 7.11228E+02	 7.34172E+02
 7.15166E+02	 7.51844E+02
 7.19102E+02	 8.64996E+02
 7.23034E+02	 7.63527E+02
 7.26965E+02	 1.75094E+02
 7.30892E+02	-7.14105E+02
 7.34817E+02	-1.38233E+03
 7.38739E+02	-1.49522E+03
 7.42658E+02	-9.43574E+02
 7.46575E+02	 8.77656E+01
 7.50489E+02	 9.48570E+02
 7.54400E+02	 1.09212E+03
 7.58309E+02	 5.73176E+02
 7.62215E+02	 1.10531E+02
 7.66119E+02	-3.86789E+02
 7.70019E+02	-9.15250E+02
 7.73918E+02	-8.36313E+02
 7.77813E+02	-1.98188E+02
 7.81706E+02	 2.01680E+02
 7.85596E+02	 1.23332E+02
 7.89484E+02	 2.73828E+02
 7.93369E+02	 4.93980E+02
 7.97251E+02	 4.04363E+02
 8.01131E+02	 5.35801E+02
 8.05008E+02	 9.19629E+02
 8.08883E+02	 9.75703E+02
