X-Axis	NPA w/ HMB-1 pos2 E30 (CRR) (SG) (Sub BG)
 3.78941E+02	 3.02681E+03
 3.83108E+02	 3.21716E+03
 3.87272E+02	 2.96700E+03
 3.91433E+02	 2.97934E+03
 3.95591E+02	 3.26554E+03
 3.99746E+02	 3.61562E+03
 4.03898E+02	 3.60569E+03
 4.08048E+02	 3.17001E+03
 4.12194E+02	 2.53988E+03
 4.16338E+02	 2.06868E+03
 4.20479E+02	 1.96873E+03
 4.24617E+02	 2.41922E+03
 4.28752E+02	 2.54052E+03
 4.32884E+02	 2.24505E+03
 4.37013E+02	 1.45054E+03
 4.41140E+02	 6.24938E+02
 4.45263E+02	-3.31875E+01
 4.49384E+02	-5.57660E+02
 4.53502E+02	-6.33094E+02
 4.57617E+02	-8.19336E+01
 4.61729E+02	 6.39895E+02
 4.65838E+02	 1.42776E+03
 4.69945E+02	 1.40234E+03
 4.74048E+02	 9.52965E+02
 4.78149E+02	 3.52738E+02
 4.82247E+02	-7.76563E+01
 4.86342E+02	-2.74621E+02
 4.90434E+02	-2.27988E+02
 4.94524E+02	-2.52633E+02
 4.98610E+02	-3.83102E+02
 5.02694E+02	-1.96219E+02
 5.06775E+02	 2.44266E+02
 5.10853E+02	 3.85152E+02
 5.14929E+02	 3.41043E+02
 5.19001E+02	 1.99902E+02
 5.23071E+02	 9.17500E+01
 5.27138E+02	-2.47883E+02
 5.31202E+02	-3.72723E+02
 5.35263E+02	-5.16328E+02
 5.39322E+02	-2.02984E+02
 5.43377E+02	 6.44789E+02
 5.47430E+02	 1.54505E+03
 5.51480E+02	 1.59095E+03
 5.55528E+02	 8.27938E+02
 5.59572E+02	-1.00504E+02
 5.63614E+02	-7.53730E+02
 5.67653E+02	-9.94918E+02
 5.71689E+02	-3.92457E+02
 5.75723E+02	 8.18789E+01
 5.79753E+02	 1.15234E+01
 5.83781E+02	-5.46988E+02
 5.87806E+02	-7.56047E+02
 5.91829E+02	-6.46367E+02
 5.95848E+02	-1.83105E+02
 5.99865E+02	 8.68934E+02
 6.03879E+02	 1.70704E+03
 6.07891E+02	 1.65164E+03
 6.11899E+02	 1.11222E+03
 6.15905E+02	 7.64410E+02
 6.19908E+02	 5.92707E+02
 6.23908E+02	 5.74770E+02
 6.27906E+02	 8.77332E+02
 6.31901E+02	 1.09820E+03
 6.35893E+02	 1.05699E+03
 6.39882E+02	 6.24789E+02
 6.43869E+02	 5.51609E+02
 6.47853E+02	 7.78715E+02
 6.51834E+02	 1.05349E+03
 6.55813E+02	 1.56681E+03
 6.59789E+02	 2.10482E+03
 6.63762E+02	 2.43458E+03
 6.67732E+02	 2.36966E+03
 6.71700E+02	 2.00141E+03
 6.75665E+02	 1.97647E+03
 6.79627E+02	 2.01750E+03
 6.83587E+02	 2.17277E+03
 6.87544E+02	 2.08299E+03
 6.91498E+02	 1.60242E+03
 6.95449E+02	 1.10189E+03
 6.99398E+02	 5.14305E+02
 7.03344E+02	 8.08242E+01
 7.07288E+02	 2.57891E+01
 7.11228E+02	 1.35848E+02
 7.15166E+02	 3.35441E+02
 7.19102E+02	 4.77969E+02
 7.23034E+02	 5.90938E+02
 7.26965E+02	 2.12461E+02
 7.30892E+02	-4.96664E+02
 7.34817E+02	-9.76430E+02
 7.38739E+02	-8.51863E+02
 7.42658E+02	-4.88629E+02
 7.46575E+02	-1.00313E+01
 7.50489E+02	 2.18895E+02
 7.54400E+02	 1.32539E+01
 7.58309E+02	-4.38453E+02
 7.62215E+02	-6.16348E+02
 7.66119E+02	-4.72930E+02
 7.70019E+02	 1.48086E+02
 7.73918E+02	 7.56555E+02
 7.77813E+02	 1.21171E+03
 7.81706E+02	 1.13100E+03
 7.85596E+02	 8.08359E+02
 7.89484E+02	 4.14551E+02
 7.93369E+02	 1.00371E+02
 7.97251E+02	 3.89688E+01
 8.01131E+02	 3.83281E+02
 8.05008E+02	 6.88691E+02
 8.08883E+02	 1.15077E+03
 8.12755E+02	 1.73780E+03
 8.16624E+02	 1.85593E+03
 8.20491E+02	 1.70592E+03
 8.24355E+02	 1.90942E+03
 8.28217E+02	 2.34102E+03
 8.32075E+02	 2.61743E+03
 8.35932E+02	 2.57134E+03
 8.39785E+02	 2.82856E+03
 8.43637E+02	 2.65404E+03
 8.47485E+02	 1.96298E+03
 8.51331E+02	 1.38300E+03
 8.55174E+02	 9.49855E+02
 8.59015E+02	 5.31914E+02
 8.62853E+02	 2.27082E+02
 8.66689E+02	 3.26109E+02
 8.70522E+02	 2.62945E+02
 8.74352E+02	-4.24313E+02
 8.78180E+02	-9.44355E+02
 8.82006E+02	-1.18449E+03
 8.85828E+02	-6.75723E+02
 8.89648E+02	 1.20977E+02
 8.93466E+02	 6.89641E+02
 8.97281E+02	 7.28613E+02
 9.01094E+02	 3.49934E+02
 9.04904E+02	 7.96758E+01
 9.08711E+02	-1.63281E+00
 9.12516E+02	 3.74262E+02
 9.16318E+02	 7.36688E+02
 9.20118E+02	 2.70488E+02
 9.23915E+02	-4.78121E+02
 9.27710E+02	-8.85879E+02
 9.31502E+02	-9.15605E+02
 9.35292E+02	-5.65473E+02
 9.39079E+02	 1.89723E+02
 9.42863E+02	 8.17238E+02
 9.46645E+02	 5.97863E+02
 9.50425E+02	-6.13398E+01
 9.54202E+02	-5.93035E+02
 9.57976E+02	-3.93934E+02
 9.61748E+02	 1.52395E+02
 9.65517E+02	 1.03002E+03
 9.69284E+02	 1.29808E+03
 9.73049E+02	 6.68934E+02
 9.76811E+02	 9.60469E+01
 9.80570E+02	-4.38047E+01
 9.84327E+02	 2.30086E+02
 9.88081E+02	 8.63324E+02
 9.91833E+02	 1.32870E+03
 9.95583E+02	 1.62924E+03
 9.99329E+02	 1.65977E+03
 1.00307E+03	 1.78589E+03
 1.00682E+03	 1.53598E+03
 1.01056E+03	 8.10852E+02
 1.01429E+03	 1.95301E+02
 1.01803E+03	 2.10711E+02
 1.02176E+03	 3.97086E+02
 1.02549E+03	 5.91137E+02
 1.02922E+03	 5.50070E+02
 1.03294E+03	-8.93750E+00
 1.03666E+03	-6.72387E+02
 1.04038E+03	-7.23711E+02
 1.04410E+03	-2.16195E+02
 1.04781E+03	 6.16547E+02
 1.05153E+03	 8.73988E+02
 1.05524E+03	 7.06172E+02
 1.05894E+03	 1.01832E+02
 1.06265E+03	-2.73039E+02
 1.06635E+03	-6.31117E+02
 1.07005E+03	-3.34379E+02
 1.07375E+03	 4.41133E+01
 1.07744E+03	 5.25340E+02
 1.08114E+03	 8.83195E+02
 1.08483E+03	 5.91910E+02
 1.08851E+03	-2.26250E+02
 1.09220E+03	-7.15508E+02
 1.09588E+03	-7.27766E+02
 1.09956E+03	-2.96887E+02
 1.10324E+03	 1.31605E+02
 1.10692E+03	 6.95102E+02
 1.11059E+03	 4.37027E+02
 1.11426E+03	-1.82852E+02
 1.11793E+03	-3.61574E+02
 1.12159E+03	-3.93516E+02
 1.12526E+03	-4.52770E+02
 1.12892E+03	-3.95789E+02
 1.13258E+03	 2.11680E+01
 1.13623E+03	 2.58688E+02
 1.13989E+03	 1.47203E+02
 1.14354E+03	 3.10410E+02
 1.14719E+03	 3.96109E+02
 1.15084E+03	 4.24980E+02
 1.15448E+03	 5.77785E+02
 1.15812E+03	 5.87496E+02
 1.16176E+03	 4.33512E+02
 1.16540E+03	 1.64445E+02
 1.16903E+03	 2.78867E+02
 1.17267E+03	 5.64461E+02
 1.17630E+03	 8.64496E+02
 1.17992E+03	 8.54063E+02
 1.18355E+03	 5.26914E+02
 1.18717E+03	 1.88633E+01
 1.19079E+03	-2.80105E+02
 1.19441E+03	-3.77020E+02
 1.19803E+03	-2.52980E+02
 1.20164E+03	-2.34793E+02
 1.20525E+03	-2.31949E+02
 1.20886E+03	-2.94758E+02
 1.21246E+03	-2.60844E+02
 1.21607E+03	-1.49285E+02
