X-Axis	NPA w/ HMB-1 (CRR) (SG) (Sub BG)
 3.78941E+02	 5.28223E+01
 3.83108E+02	 5.93652E+01
 3.87272E+02	 6.41797E+01
 3.91433E+02	 6.76216E+01
 3.95591E+02	 7.11499E+01
 3.99746E+02	 6.94727E+01
 4.03898E+02	 5.89868E+01
 4.08048E+02	 4.74761E+01
 4.12194E+02	 4.40557E+01
 4.16338E+02	 5.96392E+01
 4.20479E+02	 6.20972E+01
 4.24617E+02	 6.32559E+01
 4.28752E+02	 5.00371E+01
 4.32884E+02	 1.57500E+01
 4.37013E+02	-1.61802E+01
 4.41140E+02	-3.43911E+01
 4.45263E+02	-2.43701E+01
 4.49384E+02	-1.26426E+01
 4.53502E+02	-3.47949E+00
 4.57617E+02	 1.40225E+01
 4.61729E+02	 2.24395E+01
 4.65838E+02	 2.74424E+01
 4.69945E+02	 1.76304E+01
 4.74048E+02	 1.13130E+01
 4.78149E+02	 2.55161E+01
 4.82247E+02	 3.18159E+01
 4.86342E+02	 2.55801E+01
 4.90434E+02	 1.47769E+01
 4.94524E+02	-6.06982E+00
 4.98610E+02	-7.83496E+00
 5.02694E+02	 8.94238E+00
 5.06775E+02	 3.34014E+01
 5.10853E+02	 3.83452E+01
 5.14929E+02	 1.64346E+01
 5.19001E+02	 4.64502E+00
 5.23071E+02	 9.69238E-01
 5.27138E+02	-9.33496E+00
 5.31202E+02	-1.55151E+01
 5.35263E+02	-2.78374E+01
 5.39322E+02	-2.51509E+01
 5.43377E+02	-5.74756E+00
 5.47430E+02	 1.37061E+01
 5.51480E+02	 2.36616E+01
 5.55528E+02	 1.18442E+01
 5.59572E+02	 7.17773E-02
 5.63614E+02	-6.09082E+00
 5.67653E+02	-5.75879E+00
 5.71689E+02	-3.47803E+00
 5.75723E+02	-9.47119E+00
 5.79753E+02	-2.82588E+01
 5.83781E+02	-4.56250E+01
 5.87806E+02	-4.26475E+01
 5.91829E+02	-2.60889E+01
 5.95848E+02	-4.77979E+00
 5.99865E+02	 2.42549E+01
 6.03879E+02	 3.76616E+01
 6.07891E+02	 2.60171E+01
 6.11899E+02	 6.46484E+00
 6.15905E+02	 2.13379E-01
 6.19908E+02	 6.76807E+00
 6.23908E+02	 1.69854E+01
 6.27906E+02	 3.70928E+01
 6.31901E+02	 4.67339E+01
 6.35893E+02	 4.10020E+01
 6.39882E+02	 2.16113E+01
 6.43869E+02	 7.82617E+00
 6.47853E+02	 9.51709E+00
 6.51834E+02	 1.08330E+01
 6.55813E+02	 1.22642E+01
 6.59789E+02	 1.07847E+01
 6.63762E+02	 9.05225E+00
 6.67732E+02	 1.91885E+01
 6.71700E+02	 3.40640E+01
 6.75665E+02	 6.42866E+01
 6.79627E+02	 9.34243E+01
 6.83587E+02	 9.67939E+01
 6.87544E+02	 8.49556E+01
 6.91498E+02	 7.15220E+01
 6.95449E+02	 4.95225E+01
 6.99398E+02	 3.20679E+01
 7.03344E+02	 1.70913E+01
 7.07288E+02	 1.03896E+01
 7.11228E+02	 4.85156E+00
 7.15166E+02	 1.64063E+00
 7.19102E+02	 7.68701E+00
 7.23034E+02	 4.21680E+00
 7.26965E+02	-1.05122E+01
 7.30892E+02	-1.92515E+01
 7.34817E+02	-2.23271E+01
 7.38739E+02	-1.52441E+01
 7.42658E+02	 2.72314E+00
 7.46575E+02	 1.13940E+01
 7.50489E+02	 9.12305E+00
 7.54400E+02	-4.17188E+00
 7.58309E+02	-2.53628E+01
 7.62215E+02	-3.76284E+01
 7.66119E+02	-2.81631E+01
 7.70019E+02	 4.76563E-01
 7.73918E+02	 3.20171E+01
 7.77813E+02	 5.28530E+01
 7.81706E+02	 5.83315E+01
 7.85596E+02	 4.27363E+01
 7.89484E+02	 3.21660E+01
