X-Axis	bare NPA 10x (CRR) (SG) (Sub BG)
 3.83108E+02	 1.18491E+02
 3.87272E+02	 1.15743E+02
 3.91433E+02	 1.42642E+02
 3.95591E+02	 1.62118E+02
 3.99746E+02	 1.80559E+02
 4.03898E+02	 1.63771E+02
 4.08048E+02	 1.26349E+02
 4.12194E+02	 1.13799E+02
 4.16338E+02	 1.15845E+02
 4.20479E+02	 1.17606E+02
 4.24617E+02	 1.04151E+02
 4.28752E+02	 8.34941E+01
 4.32884E+02	 7.00083E+01
 4.37013E+02	 5.30498E+01
 4.41140E+02	 1.93530E+01
 4.45263E+02	-1.01860E+01
 4.49384E+02	-3.15117E+01
 4.53502E+02	-3.10044E+01
 4.57617E+02	 2.11230E+00
 4.61729E+02	 4.24087E+01
 4.65838E+02	 6.78228E+01
 4.69945E+02	 4.00278E+01
 4.74048E+02	-1.58208E+01
 4.78149E+02	-6.82168E+01
 4.82247E+02	-9.80737E+01
 4.86342E+02	-8.08564E+01
 4.90434E+02	-1.73325E+01
 4.94524E+02	 4.02739E+01
 4.98610E+02	 6.59038E+01
 5.02694E+02	 3.68931E+01
 5.06775E+02	 2.93555E+00
 5.10853E+02	-2.60498E+01
 5.14929E+02	-2.08848E+01
 5.19001E+02	 2.81006E+00
 5.23071E+02	 3.61577E+01
 5.27138E+02	 5.96167E+01
 5.31202E+02	 4.34360E+01
 5.35263E+02	-5.81836E+00
 5.39322E+02	-3.07861E+01
 5.43377E+02	-4.90552E+01
 5.47430E+02	-3.99385E+01
 5.51480E+02	-1.18311E+01
 5.55528E+02	 1.05400E+01
 5.59572E+02	 1.43569E+01
 5.63614E+02	-8.32520E-01
 5.67653E+02	-1.34561E+01
 5.71689E+02	-1.14893E+00
 5.75723E+02	 2.03271E+00
 5.79753E+02	 6.63037E+00
 5.83781E+02	 2.20898E+00
 5.87806E+02	-8.51318E+00
 5.91829E+02	-3.23237E+01
 5.95848E+02	-5.00313E+01
 5.99865E+02	-2.86411E+01
 6.03879E+02	-1.12891E+01
 6.07891E+02	-1.58501E+01
 6.11899E+02	-2.65522E+01
 6.15905E+02	-9.68408E+00
 6.19908E+02	 1.88442E+01
 6.23908E+02	 5.05435E+01
 6.27906E+02	 8.45664E+01
 6.31901E+02	 9.69180E+01
 6.35893E+02	 7.83247E+01
 6.39882E+02	 6.94238E+01
 6.43869E+02	 7.32886E+01
 6.47853E+02	 6.45781E+01
 6.51834E+02	 4.11909E+01
 6.55813E+02	 1.62241E+01
 6.59789E+02	-1.29688E+00
 6.63762E+02	 4.48096E+00
 6.67732E+02	 3.85815E+01
 6.71700E+02	 6.88096E+01
