X-Axis	NPA w/ oil 10x (CRR) (SG) (Sub BG)
 3.78941E+02	 3.71523E+02
 3.83108E+02	 3.39201E+02
 3.87272E+02	 2.80457E+02
 3.91433E+02	 2.60767E+02
 3.95591E+02	 2.58042E+02
 3.99746E+02	 2.79099E+02
 4.03898E+02	 2.92521E+02
 4.08048E+02	 2.75899E+02
 4.12194E+02	 2.35503E+02
 4.16338E+02	 1.89731E+02
 4.20479E+02	 1.46512E+02
 4.24617E+02	 1.26179E+02
 4.28752E+02	 1.02176E+02
 4.32884E+02	 9.33848E+01
 4.37013E+02	 8.23994E+01
 4.41140E+02	 4.19111E+01
 4.45263E+02	-1.05737E+01
 4.49384E+02	-4.56885E+01
 4.53502E+02	-5.53296E+01
 4.57617E+02	-2.18721E+01
 4.61729E+02	 1.86416E+01
 4.65838E+02	 5.21938E+01
 4.69945E+02	 3.59727E+01
 4.74048E+02	 1.49854E+00
 4.78149E+02	-1.80073E+01
 4.82247E+02	-3.83184E+01
 4.86342E+02	-3.68989E+01
 4.90434E+02	-1.99731E+01
 4.94524E+02	 1.59976E+01
 4.98610E+02	 4.87139E+01
 5.02694E+02	 5.57842E+01
 5.06775E+02	 4.97344E+01
 5.10853E+02	 1.89854E+01
 5.14929E+02	-1.68677E+01
 5.19001E+02	-3.28340E+01
 5.23071E+02	-2.36357E+01
 5.27138E+02	 4.82666E+00
 5.31202E+02	-3.29346E+00
 5.35263E+02	-3.21069E+01
 5.39322E+02	-6.24092E+01
 5.43377E+02	-6.33081E+01
 5.47430E+02	-4.88169E+01
 5.51480E+02	-2.44297E+01
 5.55528E+02	-1.82046E+01
 5.59572E+02	-2.30386E+01
 5.63614E+02	-1.58813E+01
 5.67653E+02	 9.17969E-01
 5.71689E+02	 2.51426E+01
 5.75723E+02	 2.64214E+01
 5.79753E+02	-7.44775E+00
 5.83781E+02	-3.76567E+01
 5.87806E+02	-3.16152E+01
 5.91829E+02	 2.66470E+01
 5.95848E+02	 9.13892E+01
 5.99865E+02	 1.37678E+02
 6.03879E+02	 1.48180E+02
 6.07891E+02	 9.48867E+01
 6.11899E+02	 3.28330E+01
 6.15905E+02	 2.68477E+01
 6.19908E+02	 8.20957E+01
 6.23908E+02	 1.40107E+02
 6.27906E+02	 1.83172E+02
 6.31901E+02	 1.99837E+02
 6.35893E+02	 1.66364E+02
 6.39882E+02	 1.11841E+02
 6.43869E+02	 1.02010E+02
 6.47853E+02	 1.19162E+02
 6.51834E+02	 1.17522E+02
 6.55813E+02	 9.31343E+01
