X-Axis	NPA w/ HMB-1 20x (CRR) (SG) (Sub BG)
 3.78941E+02	 1.07315E+02
 3.83108E+02	 1.21799E+02
 3.87272E+02	 1.42021E+02
 3.91433E+02	 1.53983E+02
 3.95591E+02	 1.50029E+02
 3.99746E+02	 1.24181E+02
 4.03898E+02	 8.04746E+01
 4.08048E+02	 4.86621E+01
 4.12194E+02	 5.76460E+01
 4.16338E+02	 8.25103E+01
 4.20479E+02	 1.03222E+02
 4.24617E+02	 1.08293E+02
 4.28752E+02	 1.03783E+02
 4.32884E+02	 6.07402E+01
 4.37013E+02	 8.76758E+00
 4.41140E+02	-4.95215E+00
 4.45263E+02	-8.09082E+00
 4.49384E+02	-2.47461E+00
 4.53502E+02	 6.57715E+00
 4.57617E+02	 1.71606E+01
 4.61729E+02	 2.11792E+01
 4.65838E+02	 2.22754E+01
 4.69945E+02	 2.86157E+01
 4.74048E+02	 3.32842E+01
 4.78149E+02	 2.64165E+01
 4.82247E+02	 1.51182E+01
 4.86342E+02	-2.02959E+01
 4.90434E+02	-2.64556E+01
 4.94524E+02	-1.94775E+01
 4.98610E+02	-1.63340E+01
 5.02694E+02	-6.02393E+00
 5.06775E+02	 1.47271E+01
 5.10853E+02	 3.35889E+00
 5.14929E+02	-8.23438E+00
 5.19001E+02	-1.21045E+00
 5.23071E+02	 1.20747E+01
 5.27138E+02	 3.06006E+00
 5.31202E+02	-2.94189E+00
 5.35263E+02	-3.51563E-02
 5.39322E+02	-1.63213E+01
 5.43377E+02	-2.45962E+01
 5.47430E+02	 5.96191E+00
 5.51480E+02	 3.54434E+01
 5.55528E+02	 3.36602E+01
 5.59572E+02	 3.11064E+01
 5.63614E+02	 1.78379E+01
 5.67653E+02	 1.73872E+01
 5.71689E+02	 1.70234E+01
 5.75723E+02	 1.84883E+01
 5.79753E+02	-7.84180E-01
 5.83781E+02	-4.10659E+01
 5.87806E+02	-5.81162E+01
 5.91829E+02	-4.02119E+01
 5.95848E+02	-6.59619E+00
 5.99865E+02	 3.82754E+01
 6.03879E+02	 5.31001E+01
 6.07891E+02	 4.28496E+01
 6.11899E+02	 1.34619E+01
 6.15905E+02	 4.78516E+00
