X-Axis	NPA w/ HMB-1 pos2 (CRR) (SG) (Sub BG)
 3.78941E+02	 8.32046E+01
 3.83108E+02	 8.35356E+01
 3.87272E+02	 6.18271E+01
 3.91433E+02	 4.27148E+01
 3.95591E+02	 3.90405E+01
 3.99746E+02	 4.86436E+01
 4.03898E+02	 5.36118E+01
 4.08048E+02	 4.95425E+01
 4.12194E+02	 3.12417E+01
 4.16338E+02	 6.26758E+00
 4.20479E+02	-5.69824E-01
 4.24617E+02	 2.77847E+01
 4.28752E+02	 5.46460E+01
 4.32884E+02	 6.06411E+01
 4.37013E+02	 3.38115E+01
 4.41140E+02	 2.51465E-01
 4.45263E+02	-3.04966E+01
 4.49384E+02	-4.95933E+01
 4.53502E+02	-4.46597E+01
 4.57617E+02	-2.17051E+01
 4.61729E+02	 1.73828E+00
 4.65838E+02	 2.60005E+01
 4.69945E+02	 3.38135E+01
 4.74048E+02	 2.80176E+01
 4.78149E+02	 1.67202E+01
 4.82247E+02	 3.73877E+00
 4.86342E+02	-2.70313E+00
 4.90434E+02	-4.11084E+00
 4.94524E+02	-1.61660E+01
 4.98610E+02	-2.12134E+01
 5.02694E+02	-1.44771E+01
 5.06775E+02	 4.02344E-01
 5.10853E+02	 6.13867E+00
 5.14929E+02	 4.28711E+00
 5.19001E+02	-1.73438E+00
 5.23071E+02	-1.18818E+01
 5.27138E+02	-2.06323E+01
 5.31202E+02	-1.71079E+01
 5.35263E+02	-2.09741E+01
 5.39322E+02	-1.40229E+01
 5.43377E+02	 1.30884E+01
 5.47430E+02	 3.58599E+01
 5.51480E+02	 3.31802E+01
 5.55528E+02	 1.45952E+01
 5.59572E+02	-7.25391E+00
 5.63614E+02	-2.24888E+01
 5.67653E+02	-3.15122E+01
 5.71689E+02	-6.35938E+00
 5.75723E+02	 1.76455E+01
 5.79753E+02	 9.56982E+00
 5.83781E+02	-1.16504E+01
 5.87806E+02	-3.21523E+01
 5.91829E+02	-4.55918E+01
 5.95848E+02	-4.29053E+01
 5.99865E+02	-1.36831E+01
 6.03879E+02	 1.97285E+01
 6.07891E+02	 2.12715E+01
 6.11899E+02	 1.41221E+01
 6.15905E+02	 2.12358E+01
 6.19908E+02	 3.88335E+01
 6.23908E+02	 4.96343E+01
 6.27906E+02	 5.62544E+01
 6.31901E+02	 5.07783E+01
 6.35893E+02	 3.08882E+01
 6.39882E+02	 1.25400E+01
 6.43869E+02	 1.71157E+01
 6.47853E+02	 2.60684E+01
 6.51834E+02	 2.77822E+01
 6.55813E+02	 2.23564E+01
 6.59789E+02	 2.49893E+01
 6.63762E+02	 1.73423E+01
 6.67732E+02	 1.77754E+01
 6.71700E+02	 2.28672E+01
 6.75665E+02	 3.23677E+01
 6.79627E+02	 4.56587E+01
 6.83587E+02	 5.45435E+01
 6.87544E+02	 4.87900E+01
 6.91498E+02	 3.60991E+01
 6.95449E+02	 1.97139E+01
 6.99398E+02	 1.76377E+01
 7.03344E+02	 7.77979E+00
 7.07288E+02	 1.08477E+01
 7.11228E+02	 8.74658E+00
 7.15166E+02	 3.57178E+00
 7.19102E+02	 7.11816E+00
 7.23034E+02	 1.62402E+01
 7.26965E+02	 1.24429E+01
 7.30892E+02	 1.98193E+00
 7.34817E+02	-1.24790E+01
 7.38739E+02	-9.38965E+00
 7.42658E+02	-8.27979E+00
 7.46575E+02	-7.12402E-01
 7.50489E+02	-1.27686E+00
 7.54400E+02	-1.25195E+01
 7.58309E+02	-2.75107E+01
 7.62215E+02	-2.41631E+01
 7.66119E+02	-1.85376E+01
 7.70019E+02	 9.37305E+00
 7.73918E+02	 3.57734E+01
 7.77813E+02	 4.67026E+01
 7.81706E+02	 3.73613E+01
 7.85596E+02	 1.54399E+01
 7.89484E+02	-3.61621E+00
 7.93369E+02	-2.27944E+01
 7.97251E+02	-2.95903E+01
 8.01131E+02	-1.21074E+01
 8.05008E+02	-3.09814E+00
 8.08883E+02	 1.22793E+01
 8.12755E+02	 3.69375E+01
 8.16624E+02	 3.81631E+01
 8.20491E+02	 3.05288E+01
 8.24355E+02	 3.07539E+01
 8.28217E+02	 5.39497E+01
 8.32075E+02	 7.07500E+01
 8.35932E+02	 7.88579E+01
 8.39785E+02	 8.93765E+01
 8.43637E+02	 7.66899E+01
 8.47485E+02	 4.13911E+01
 8.51331E+02	 2.23569E+01
 8.55174E+02	 1.46006E+01
 8.59015E+02	 9.42432E+00
 8.62853E+02	 6.54248E+00
 8.66689E+02	 2.14468E+01
 8.70522E+02	 2.83257E+01
 8.74352E+02	 6.87256E+00
 8.78180E+02	-1.68188E+01
 8.82006E+02	-4.20771E+01
 8.85828E+02	-4.40972E+01
 8.89648E+02	-1.91724E+01
 8.93466E+02	 1.23149E+01
 8.97281E+02	 2.43389E+01
 9.01094E+02	 2.00825E+01
 9.04904E+02	 1.33789E+01
 9.08711E+02	 3.61865E+00
 9.12516E+02	 1.32773E+01
 9.16318E+02	 2.95981E+01
 9.20118E+02	 2.24902E+01
 9.23915E+02	-4.37598E+00
 9.27710E+02	-2.63369E+01
 9.31502E+02	-2.09858E+01
 9.35292E+02	-9.68945E+00
 9.39079E+02	 1.11182E+01
 9.42863E+02	 3.16738E+01
 9.46645E+02	 2.07803E+01
 9.50425E+02	-1.62207E+00
 9.54202E+02	-2.58525E+01
 9.57976E+02	-2.61821E+01
 9.61748E+02	-1.28560E+01
 9.65517E+02	 1.31348E+00
 9.69284E+02	 9.58691E+00
 9.73049E+02	-8.51123E+00
 9.76811E+02	-2.28169E+01
 9.80570E+02	-1.97065E+01
 9.84327E+02	-7.32080E+00
 9.88081E+02	 1.82686E+01
 9.91833E+02	 4.67275E+01
 9.95583E+02	 6.85581E+01
 9.99329E+02	 7.41182E+01
 1.00307E+03	 6.78247E+01
 1.00682E+03	 4.98345E+01
 1.01056E+03	 1.40347E+01
 1.01429E+03	-1.72944E+01
 1.01803E+03	-1.43999E+01
 1.02176E+03	 5.32715E-01
 1.02549E+03	 1.72773E+01
 1.02922E+03	 2.65059E+01
 1.03294E+03	 1.30317E+01
 1.03666E+03	-1.76870E+01
 1.04038E+03	-2.89150E+01
 1.04410E+03	-1.75171E+01
 1.04781E+03	 1.22539E+01
 1.05153E+03	 3.32422E+01
 1.05524E+03	 4.05210E+01
 1.05894E+03	 2.65278E+01
 1.06265E+03	 2.43359E+00
 1.06635E+03	-1.29790E+01
 1.07005E+03	 9.13574E-01
 1.07375E+03	 9.61475E+00
 1.07744E+03	 2.97231E+01
 1.08114E+03	 4.69683E+01
 1.08483E+03	 4.27939E+01
 1.08851E+03	 1.34648E+01
 1.09220E+03	-1.23555E+01
 1.09588E+03	-1.64473E+01
 1.09956E+03	-3.81836E+00
 1.10324E+03	 5.40186E+00
 1.10692E+03	 2.25732E+01
 1.11059E+03	 1.08062E+01
 1.11426E+03	-6.94824E+00
 1.11793E+03	-1.59424E+01
 1.12159E+03	-1.54419E+01
 1.12526E+03	-7.98975E+00
 1.12892E+03	-7.51855E+00
 1.13258E+03	 2.56689E+00
 1.13623E+03	 4.08936E+00
 1.13989E+03	-2.55566E+00
 1.14354E+03	-2.59717E+00
 1.14719E+03	-5.53809E+00
 1.15084E+03	-5.70557E+00
 1.15448E+03	 2.61230E-01
 1.15812E+03	-2.60059E+00
 1.16176E+03	 2.03564E+00
 1.16540E+03	 3.70605E-01
 1.16903E+03	 1.38730E+01
 1.17267E+03	 2.49097E+01
 1.17630E+03	 2.75337E+01
 1.17992E+03	 2.18413E+01
 1.18355E+03	 1.00967E+01
 1.18717E+03	-2.29199E+00
 1.19079E+03	-3.60156E+00
 1.19441E+03	-1.13574E+00
 1.19803E+03	 2.32373E+00
 1.20164E+03	-9.42871E-01
 1.20525E+03	-6.14307E+00
 1.20886E+03	-1.43823E+01
 1.21246E+03	-2.24385E+01
 1.21607E+03	-1.97959E+01
 1.21967E+03	-7.75537E+00
 1.22327E+03	 7.11426E-01
 1.22687E+03	 6.29541E+00
 1.23046E+03	 5.28418E+00
 1.23405E+03	-5.60645E+00
 1.23764E+03	-1.64639E+01
 1.24123E+03	-1.54292E+01
 1.24482E+03	-3.65332E+00
 1.24840E+03	 1.72769E+01
 1.25198E+03	 3.12168E+01
 1.25556E+03	 3.46484E+01
 1.25913E+03	 2.43730E+01
 1.26271E+03	 7.03857E+00
 1.26628E+03	-3.84961E+00
 1.26985E+03	-7.27051E-01
 1.27341E+03	 1.51147E+01
 1.27698E+03	 1.70645E+01
 1.28054E+03	 5.41943E+00
 1.28410E+03	 7.14209E+00
 1.28766E+03	 1.99194E+01
 1.29121E+03	 1.93721E+01
 1.29476E+03	 1.85933E+01
 1.29831E+03	 1.54326E+01
 1.30186E+03	 1.02856E+01
 1.30541E+03	-1.58594E+00
 1.30895E+03	 1.23584E+01
 1.31249E+03	 2.29458E+01
 1.31603E+03	 2.17197E+01
 1.31957E+03	 1.56362E+01
 1.32310E+03	 1.60054E+01
 1.32663E+03	 1.14937E+01
 1.33016E+03	 5.74707E+00
 1.33369E+03	 1.77100E+00
 1.33722E+03	-2.69678E+00
 1.34074E+03	-1.67627E+01
 1.34426E+03	-1.78379E+01
 1.34778E+03	-2.17822E+00
 1.35129E+03	 2.33027E+01
 1.35481E+03	 5.42119E+01
 1.35832E+03	 6.37158E+01
 1.36183E+03	 5.17769E+01
 1.36534E+03	 2.85586E+01
 1.36884E+03	 1.74531E+01
 1.37234E+03	 8.79053E+00
 1.37584E+03	 1.53799E+01
 1.37934E+03	 2.71465E+01
 1.38284E+03	 3.39683E+01
 1.38633E+03	 2.99067E+01
 1.38982E+03	 1.26240E+01
 1.39331E+03	-1.12964E+01
 1.39680E+03	-1.71362E+01
 1.40028E+03	-1.13091E+01
 1.40376E+03	 3.55420E+00
 1.40724E+03	 1.30278E+01
 1.41072E+03	 1.31675E+01
 1.41420E+03	 5.29346E+00
 1.41767E+03	-8.58594E+00
 1.42114E+03	-6.81787E+00
 1.42461E+03	-6.05322E+00
 1.42808E+03	-8.88135E+00
 1.43154E+03	 2.11670E+00
 1.43500E+03	 1.99751E+01
 1.43846E+03	 3.15376E+01
 1.44192E+03	 3.00337E+01
 1.44537E+03	 1.36787E+01
 1.44883E+03	-3.82715E+00
 1.45228E+03	-1.74966E+01
 1.45573E+03	-8.39307E+00
 1.45917E+03	 5.84033E+00
 1.46262E+03	 6.98096E+00
 1.46606E+03	-3.75488E+00
 1.46950E+03	-1.35693E+01
 1.47294E+03	-1.81636E+01
 1.47637E+03	-2.02251E+01
 1.47981E+03	-2.32051E+01
 1.48324E+03	-8.36572E+00
 1.48667E+03	 1.20117E+01
 1.49009E+03	 3.50278E+01
 1.49352E+03	 4.92051E+01
 1.49694E+03	 5.24365E+01
 1.50036E+03	 3.65527E+01
 1.50378E+03	 1.71870E+01
