57.42448267,8206
60.29131328,9594
63.15612404,8763
66.01891664,9135
68.87969276,9418
71.73845411,12481
74.59520236,11867
77.44993921,15500
80.30266633,29313
83.15338541,65535
86.00209813,65535
88.84880617,65535
91.6935112,65535
94.53621489,65535
97.37691893,65535
100.215625,65535
103.0523347,65535
105.8870498,65535
108.7197719,65535
111.5505026,65535
114.3792437,65535
117.2059968,65535
120.0307636,65535
122.8535457,65535
125.6743447,65535
128.4931623,65535
131.3100002,65535
134.1248601,65518
136.9377435,62291
139.7486521,60952
142.5575875,59948
145.3645515,58418
148.1695455,58202
150.9725714,57850
153.7736306,58102
156.5727249,57302
159.3698559,57559
162.1650252,57530
164.9582344,57984
167.7494851,57820
170.5387791,57501
173.3261178,57427
176.111503,57930
178.8949363,57309
181.6764192,56349
184.4559533,56110
187.2335404,55969
190.009182,56433
192.7828797,56668
195.5546352,56200
198.32445,55587
201.0923257,56744
203.8582639,55453
206.6222664,55851
209.3843345,55964
212.1444701,55565
214.9026745,56131
217.6589495,56898
220.4132966,56316
223.1657175,55960
225.9162137,55728
228.6647868,56329
231.4114383,55939
234.15617,56751
236.8989832,56238
239.6398798,56383
242.3788611,56437
245.1159289,55339
247.8510846,55668
250.5843298,55313
253.3156662,56396
256.0450953,56985
258.7726186,54368
261.4982377,54619
264.2219542,54164
266.9437697,54974
269.6636857,53965
272.3817038,53739
275.0978255,52481
277.8120524,52998
280.524386,52624
283.234828,52246
285.9433797,53086
288.6500429,52088
291.3548191,52958
294.0577097,52324
296.7587164,51972
299.4578407,51711
302.1550841,52392
304.8504482,52880
307.5439344,52674
310.2355445,53031
312.9252798,52445
315.6131419,53006
318.2991323,52365
320.9832527,53283
323.6655044,53099
326.3458891,53944
329.0244082,53731
331.7010633,53079
334.3758559,53067
337.0487875,53288
339.7198596,52701
342.3890738,53596
345.0564316,54203
347.7219345,54134
350.3855839,54698
353.0473815,54502
355.7073287,54943
358.365427,55262
361.0216779,55578
363.676083,56471
366.3286437,57048
368.9793615,56061
371.6282379,57104
374.2752745,57420
376.9204727,58341
379.5638341,57870
382.20536,58025
384.8450521,58217
387.4829117,58211
390.1189404,58792
392.7531397,57983
395.385511,57771
398.0160559,59153
400.6447758,59209
403.2716721,57732
405.8967465,58182
408.5200003,58104
411.141435,58253
413.7610521,56115
416.3788531,55758
418.9948394,55164
421.6090125,56108
424.2213739,56803
426.831925,55736
429.4406673,54912
432.0476023,54508
434.6527314,55746
437.2560561,54182
439.8575778,54579
442.4572981,54762
445.0552182,54577
447.6513398,54881
450.2456643,55146
452.838193,53871
455.4289275,54182
458.0178692,54501
460.6050195,55007
463.1903799,54871
465.7739518,53910
468.3557368,54639
470.9357361,54967
473.5139512,54427
476.0903837,54035
478.6650348,54648
481.2379061,54549
483.808999,55264
486.3783149,55878
488.9458552,55409
491.5116214,56249
494.0756149,56458
496.637837,56298
499.1982893,56201
501.7569732,56759
504.31389,58029
506.8690412,57987
509.4224283,57559
511.9740525,57947
514.5239154,57947
517.0720183,58148
519.6183627,57213
522.1629499,57867
